no.,author,date,rating,review
1,Anand stephen,Reviewed in India on 30 August 2022,5,"I brought this processor for my gaming/workstation build . Combining this processor with nzxt 360 mm liquid cooling AIO , things went smoothly. It can handle literally all heavy tasks like 3d rendering , simulation , gaming , yet keeps temprature at 40c . Highly recommended for best gaming rigs . Note: 4th gen ssd is a plus for the build ... Otherwise there might be bottleneck with gen3 ssds while doing 3d rendering works ."
2,Paras Kumar,Reviewed in India on 15 January 2023,5,Was using amd cpu untill now. Cpu died in 2 year only. Now back to intel. Dad of AMD .
3,Agustin,Reviewed in Mexico on 10 July 2023,5,"Se siente mucho la diferencia en el cambio de AMD a Inter, es mucho más estable y más fluido, sus drivers están bien optimizados y corre espectacular, no se calienta, incluso al 100% de uso se mantiene en los 70 grados"
4,Ralf Schneider,Reviewed in Germany on 26 February 2024,5,"Ich hab ihn zurückgesendet da ich mittlerweile mein komplettes System umgestellt habe, aber der Prozessor ist top."
5,Luis CORREIA,Reviewed in France on 14 February 2024,5,Bien
6,Smart Shopper,Reviewed in the United States on 28 April 2023,5,
7,YMS,Reviewed in Japan on 14 July 2023,5,"I purchase this CPU 1 year ago and it cost me 74,000 JPY back then. the price didn't drop much since that time and the performance is satisfying so far. the new generation spec is higher so if you want to buy this CPU don't. instead, you can buy i7 Gen13 as it will have the same spec plus a better cache than the 12 Gen. it might be better to buy the K version in case you have issues with your GPU to troubleshoot."
8,Fausto,Reviewed in Italy on 27 June 2023,5,"Processore veramente ottimo in tutte le su parti.  Ottimo il venditore che ha spedito il processore ben 10 giorni prima della scadenza prevista. I processore è arrivato nella sua confezione originale , perfettamente sigillata, cosa che ormai non capita sempre. Complimenti"
9,Malcolm,Reviewed in the United Kingdom on 21 August 2023,5,Bought for a friend's computer I was building. I got it in the Prime sale and it's fantasticly fast
10,jagdeep,Reviewed in Canada on 31 October 2023,5,This CPU has 24 threads and 16 cores (8E cores and 8P cores) which really makes difference when dealing with 3d graphics and to prevent bottleneck issues Doesn't cause a CPU and GPU bottleneck as I only get about 45% GPU usage and stay under 10% load in most AAA titles like Destiny or Call of Duty. CinebenchR23 Benchmarks Using CINEBENCH R23 I got a score of 27552 which is roughly 70 % of top performing CPU score of  43640. Using Geek Bench 6 test I got a Single core score of 2601 which is roughly 83 % of top performing CPU score of  3097 And a multi-core score of 12821 which is roughly 56 % of top performing CPU score of  21742
11,Hugo B,Reviewed in Mexico on 27 December 2022,5,Calidad 100% y llegó en perfectas condiciones sin duda la mejor opción de comprar
12,UwZid,Reviewed in Germany on 5 August 2023,5,Läuft super und keine Beanstandungen!
13,Leonardo,Reviewed in Italy on 15 January 2022,5,Finalmente Intel si è ricordata che produce processori. Prodotto indubbiamente al top sia come prezzo che come prestazioni. Il 12900 e comuqnue un processore di nicchia dedicato alle build più estreme o a chi davvero bisogno di grandi performance. Punti deboli consumi e temperature. Altra nota dolente mancanza di dissipatori compatibili o gravi problemi nel reperire i componenti per completare lassemblamento del PC. Consiglio caldamente per le fase di i 9 e gli i7 più estri un raffreddamento ad aria di fascia alta oppure a liquido.
14,Christopher. L,Reviewed in France on 16 November 2022,5,"Sans doute l’un des meilleurs processeur du moment du coter de Intel.  Le prix est assez élevée mais la puissance ce fait ressentir, le passage sur la ram ddr5 est selon moi le meilleurs arguments de vente et un vrai avancement pour mon setup. Très pratique pour réaliser des lives twitch sans devoir perdre de FPS en jeu."
15,Sean Dearing,Reviewed in Canada on 4 March 2024,5,This CPU has been put into my Unraid server so I could take advantage of the onboard video for Plex.  My previous AMD system I need a discrete graphics card to do the same thing.  This new CPU worked perfectly for my use case.
16,Amazon カスタマー,Reviewed in Japan on 20 November 2023,5,Very good
17,Amazonのとりこ,Reviewed in Japan on 4 June 2022,5,2022年5月に購入。 ASUSの簡易水冷(ROG240mm)で運用。ケースが古いので360mmは断念。 定格使用でH.265のエンコード時にCPU温度は80℃後半を維持できます。 Z690マザーなのでオーバークロック。 6コアまでなら倍率54で回ります。温度は90℃に届くかどうか程度。電圧はoffsetで-0.05V。この場合Core temp読みで消費電力は241Wに届きませんでした。 ただ、オールコアをいじり倍率50にしただけで300W近くまで消費するとともにCPU温度は一瞬で100℃へ。即サーマルスロットリングが作動します。 いずれも室温は27℃での検証です。 360mmの簡易水冷にしたとて一瞬で100℃に上がる温度は抑えきれないと思いますのでサーマルスロットリングに当てたくないのであればオーバークロックは難しいのでは？と思いました。 単コアであれば54倍で安定動作しているので満足です。 6700Kからの換装でしたが10分間の動画をH.265にエンコードしたとき、6700Kは約15分、12900Kは約7分で終了。 時代の変化を感じます。 premiere Proでの動画編集(4Kを8ストリーム)でも全コアフルパワーにはなりませんでした。エンコードするときと、ベンチを回すときくらいですかね。 確かに発熱しますが普段使いであれば240mm簡易水冷でも運用可能です。
18,Chris H,Reviewed in the United States on 11 May 2023,5,"This isn't the processor for everyone, but it is very fast. The individual cores aren't significantly different from those in the 13th generation i7. But if you have a need for a lot of parallel processing then this may be the processor for you. I do software development, which it doesn't help 99% of the time, gaming, which it helps a little, and occasionally transcoding large amounts of video and music. During transcoding it helps a huge amount. I have over 300GB of FLAC audio files that I ripped from my CD collection, I never buy mp3s. I wanted to have that on my phone, but I didn't want to carry it at full rate because I can't tell the difference in the car, so I transcoded it. I had done that once before and it took more than a day on a five year old Ryzen 7. This machine took around 30 minutes. 30-40 times faster. At work the optics team, which uses ray tracing software to design optical telescopes and laser focusing lenses, uses i9s in preference to Xeons. The Xeons might be faster under some circumstances, but the machines are hugely expensive, so the i9s are much better for price performance. Would I buy it again? I'd probably buy the 13th generation, but if I had any sense I'd just get the 13th gen i7."
19,Shawn,Reviewed in Canada on 24 June 2024,5,love it fast easy to install would buy again if i  need one
20,Manni,Reviewed in Germany on 15 August 2022,5,Der Preis ist übelst hoch
21,D. Orders,Reviewed in the United States on 4 December 2022,5,"Works great in my new system. I wouldn't say easy to install, but none are, I always sweat bullets when I latch down the CPU holder. But other than that stable and powerful. Here's my build, rock stable and fast as hell! Logitech G502 HERO High Performance Wired Gaming Mouse Logitech G910 Orion Spectrum RGB Wired Mechanical Gaming Keyboard External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player Cooler Master SickleFlow 120 V2 ARGB 3in1 Square Frame Fan Cooler Master MasterFan SF360R ARGB 360mm All-In-One Square Frame Fan w/ 24 Independently-Controlled ARGB LEDS ASUS ROG Strix Z690-E Gaming WiFi 6E LGA 1700(Intel 12th Gen)ATX gaming motherboard Cooler Master Hyper 212 Black Edition CPU Air Coolor Cylewet 10Pcs Mainboard Computer PC Internal Speaker Buzzer Computer Case Buzzer Intel Core i9-12900K Desktop Processor 16 (8P+8E) Cores up to 5.2 GHz Unlocked SAMSUNG 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Hard Drive Cooler Master MasterBox TD500 Mesh Airflow ATX Mid-Tower with Polygonal Mesh Front Panel, Crystalline Tempered Glass Corsair Vengeance DDR5 64GB (2x32GB) 5200MHz C40 Intel Optimized Desktop Memory Corsair RMX Series (2021), RM1000x, 1000 Watt, Gold, Fully Modular Power Supply,Black SAMSUNG 980 SSD 1TB PCle 3.0x4, NVMe M.2 2280, Internal Solid State Drive"
22,DMUL,Reviewed in Canada on 1 December 2023,5,"It's not the latest gen but an overclocked I9 12th gen is more than enough for almost any gaming.  Overclocked it does demand some serious cooling, but anyone who overclocks would expect that."
23,Amazon カスタマー,Reviewed in Japan on 27 March 2022,5,ベンチマークなどで異様な負荷を与えなければそこまで熱いCPUではないです ３６０ミリが理想ではありますが通常の使用ならば280ミリでも行ける気がします さすがにベンチを永遠回すと３６０ミリラジ使用フラクタルデザインの静穏ケース天板穴なしで90度以上まであがりますがCPUなんて１００度超えなきゃ問題ないという認識なので気にしてないです アイドリングの消費電力はやっぱりINTELだなーって感じで普通に低いです まぁ巷でワッシャーレイクやらなんやら言われるCPUではありますが処理も早いし通常の使用ならそこまで熱くもないのであたふたするようなものではないのかなって感じます
24,k,Reviewed in Japan on 6 April 2022,5,ゲーミングPC用に購入、 Pコアを5.2GHzにオーバークロックして常用していす。 熱との付き合いがうまく出来ればかなり良いCPUです。 とは言え夏はまだ過ごしていないのでこれからが少し不安ですが現状は満足しています。
25,Britt Davis,Reviewed in the United States on 6 June 2024,5,Make sure you have a good Aio  NOT an msi core liquid v2 360 because that one died on me and this was seeing 80-90c idle other than that this processor is pretty good when its cooled properly.
26,Mike,Reviewed in Canada on 14 October 2022,5,"This thing never goes over 15 percent usage, and most games its actually using 0-4 percent. Even on Escape From Tarkov at max settings 4k 140+ fps its using 4 percent at max and usually is at 0-1 percent, I don't know if it's my computer reading an error but I use a few apps to check including the task manager tab. I use an NZXT AIO and the temps on this thing are under 20 idle and when I'm gaming on any game it never goes over 45 and usually is in the low 30s. I tried WOW classic, Retail,  Cyberpunk, Spiderman , and regularly play Escape from tarkov and all at 4k max settings and this thing just stays cool and and low usage. My GPU barely works as I have a 3090 TI, my GPU is usually at USAGE 40-50 percent at max 60 percent and stays cool, so I don't think anything is bottle necking. My old computer has an I5 and I have a laptop with an I7 and when I am gaming they are usually at 90+ percent usage. Even my friend with the AMD 5800x3D was getting at least 30+percent usage for AAA games. This is the first Computer I've built where I'm actually not even worried about the CPU for how cool it runs. I'm really shocked on how good its performance is, Definitely recommend."
27,BlueIce,Reviewed in the United States on 22 June 2024,5,I used this to upgrade a system I built two years ago.  I was going t use a 14th gen i9.  but for all the issues I have heard and read about with the 13th and 14th gen i9's having I went safe route.  I hate to have a computer crash cause of manufacture intel 13th and 14th gen i9 defects!!!!
28,Spenny,Reviewed in Canada on 3 March 2024,5,Just a quick swap from a I5 to this on a 660 mobo Noticed a difference right away in cities skylines 2 That's all I needed
29,Steve Dervs,Reviewed in Canada on 6 January 2024,5,"Faster Read, Write speeds than I-7. Easy Install. I recommend a Liquid cooler if you Overclock--otherwise the revved Fan noise will irritate you. I returned one -new unopened because the Motherboard I ordered for it arrived Damaged."
30,Kira,Reviewed in the United States on 21 February 2022,5,"Purchased this CPU to finally upgrade my tired 8086k that I have had for close to 4 years now, and considering I also own a 3090 I was lucky enough to get last year, it was time. Paired with said gpu and a MSI Tomahawk Z690 with a Noctua NH-D15 Chromax Black cooler, this cpu runs complete marathons around my old 8086k. Certain games that would fully saturate my 8086k while also getting notifications from something like Discord would introduce very bad stutter, however those are completely eliminated with the 12900k. Temps are high when Im doing full resolution photo renders from my DJI Air 2S or Sony a6400 or straight up benchmarking, but that is expected and I'm not one to sweat about 80-90c temps, but if you are I would recommend the 12700k/5900x as they both run cooler and draw less wattage. However in gaming with multiple different Firefox tabs and discord/telegram open, it never even touches 70c, so your experience may vary depending on what type of work load you are doing. Make sure that if you do have a high powered gpu that you also have a high output power supply with a high efficiency rating as well, as my system can suck north of 600-750w full tilt (my power supply being a 1200w platinum EVGA that doesnt break a sweat under full load)."
31,Amazon Customer,Reviewed in Canada on 20 March 2024,5,Merci
32,Arlem21,Reviewed in the United States on 24 April 2024,5,"Excellente procesador, buen precio, recomiendo al vendedor 100%."
33,bilal waheed,Reviewed in the United States on 22 November 2023,5,"Had a 11900K prior to this one, and as fast as it was even being overclocked to 5.3 ghz - the 12900K is just simply better. Put a minor overclock to 5.2 ghz and it's been so nice. P cores are freed up to do what they're supposed to do. E cores do the chores! Was hot at first before undervolting, but now that's done and temps are high 70s with a 360 mm Corsair AIO. Paired up with a Z690 from MSI and a RTX 3090 it's just the perfect combo. 12900K is completely free to do the data processing for the game, and 3090 handles the graphics side in all my triple A titles without needing to borrow from the system memory at all - needing to pull data through the processor. Resizable bar enabled and it's been awesome. Was worth every penny."
